,text,airline_sentiment
2662,staff refuse let earlier flight citing checked bag,negative
2663,thanks nothing next time ill bring whole extra suitcase 1 extra pound make sense right,negative
2664,first lost bag cancelled flight flight home 30 min wait talk somebody,negative
2665,great landing denver next rapid city snow starting fallflorida everglades faint sunburn awayhere come cold,positive
2666,looking forward flying guy well,positive
2667,flight arrive early delayed due gate available 20 min late flight tarmac,negative
2668,flight landed 50 min told stay plane havent pulled gate amp little information,negative
2669,love hate relationship day youre good others terribly awful saddening,neutral
2670,better customer service john wayne airport,negative
2671,bag finally delivered intact thanks assistance,positive
2672,passenger seated crew ready flt 1088 ord hope isnt bar,negative
2673,booked 11 tix 1 month ago 157 cheaper customer service useless whats,negative
2674,ua938 still taking 905pm im stuck tarmac ua3462 waiting get,negative
2675,youre right good caught mechanical failure bad blanket ok,negative
2676,sitting ua1088 getting delayed operation cant find captain,negative
2677,truly worst day flying ever experienced,negative
2678,guy made day treated well thank,positive
2679,stuck houston cant seem get plane destination time perfect flying condition,negative
2680,phone customer service team bad think time consider switching airline,negative
2681,much longer united phone hour straighten star alliance upgrade,negative
2682,verify wheelchair assistance requested next flight,neutral
2683,left dildo plane way get back,neutral
2684,dont know last name karen call center terrific friendly helpful terrific representative kudos,positive
2685,im cancelled flighting card never business clearly dont care customer,negative
2686,thank good service safe flight 12 way home,positive
2687,even ask dm offer help cant anything,negative
2688,yes appreciated misinformation damage credibility may want someone observe newark,negative
2689,guy suck,negative
2690,never fails flying fc order ravioli get chicken tell fa say told people wanted chickenidiot,negative
2691,second time flying houston 45 min waiting luggage baggage typical still waiting,negative
2692,flight went great improved view airline cheer flight attendents ua1022 deserve raise,positive
2693,horrible service attitude asked information make want fly united ever,negative
2694,rep hung 35 min hold asked supervisor im furious right,negative
2695,question interview process one interview last person good bad,neutral
2696,thank 7 hr terminal dulles airport,negative
2697,go bankrupt transfer asset luv would great,negative
2698,landing chicago saw already airborne,neutral
2699,marcus helped good agent couldnt fix flight listed website unavailableto book false advertising much,negative
2700,may hit new status year ’ flown several time year tried book ’ every time,positive
2701,unsmiling rep told u hotel shuttle come like every 15 minute breezy 30 min late flightr taking cab going reimburse,negative
2702,someone miss connecting flight airline last flight day fix,negative
2703,yes needed plenty assistance received none,negative
2704,tonight got hotel 14hrs traveling still reaching destination disappointed thanks,negative
2705,thank reply emailed customer care department experience,negative
2706,file claim agent wont let speak supervisor claim number expired wont find bag,negative
2707,done something make ill tweet,neutral
2708,one interview last person mean,negative
2709,flown 10 time last 13 day 8 10 flight delayed huge mistake part dont fly united,negative
2710,received notification inflight wifi ua863 amazing,positive
2711,yes taking two day get bag delivered missed full day skiing,negative
2712,give recognition deserves,positive
2713,shes type person make customer day fly 100 time year amp shes one top flight attendant ive,positive
2714,made remove 1 pound checked bag otherwise would charge 200 loyal flier 10 year time change,negative
2715,sitting plane 315 unreal 2 day nightmare end,negative
2716,suck youre best,positive
2717,let u gate ua1157,negative
2718,amp top free tv int ’ l leg ’ sitting tarmac houston 70 min past departure w another hr plus go,negative
2719,dtv doesnt work pilot late flight wont let 10yr old fly next 2 paid 4 upgrade,negative
2720,loyalty team basically flipped via phone thanks maybe google loyalty get back lol,negative
2721,hey job dont give safety spin plane broke original flight,negative
2722,thank,positive
2723,mean beyond opaque maintenance issue yes would basic customer service ewr staff cant manage,negative
2724,dear ted dont care mileage plus card pay lot bye bye united,negative
2725,terminal 1 gate b3 flt 1299 take terminal 5 gate m13 swiss air lx009,neutral
2726,sad dont think important resolve client facing team behaves disgraceful,negative
2727,help girlfriend amy lloyd going miss flt zurich bc fault need golf cart meet ord 1,negative
2728,former gate agent pia walked away quit luckily responsible pia agent saved day,negative
2729,problem told aircraft way,negative
2730,thx sitting plane 25 hr refuel cant even make stuff,negative
2731,know use twitter bro terminal look like bosnia here another pic,negative
2732,far worst airline 4 plane delay 1 round trip flight possible,negative
2733,took care rent car drive 3 hour retrieve belonging due united error,negative
2734,ill probably miss next connection,negative
2735,chance youll ever cpu jfklax like,neutral
2736,may think im joking blowing proportion last 8 united flight delayed significantly late flight,negative
2737,case delayed due mechanical issue update departure time cancelled flight goddamn flight go delta,negative
2738,2 day 3 plane mechanical issue 15 hr late flight sitting plane insane,negative
2739,didnt get message ill resend number,negative
2740,yes filled form last year dont case number handy guess im cut historical society afterall,neutral
2741,idiot designed seat armrest tv remote amp resting elbow dont mix seatmate keep changing channel amp blasting volume,negative
2742,bump group 3 wont forced check bag wait 30 minute lga,negative
2743,listen learn amp remove pqd requirement insulting ha,negative
2744,thank reply fill form submit requested good know youre paying attention,positive
2745,gate agent alavera amazing,positive
2746,need youto better airline lol,negative
2747,agent forced check carry bag received bag found crew stolen u lost business,negative
2748,win top mark customer service via twitter turned poor experience positive many thanks effort,positive
2749,reallyyou charge 25 check bag put different flightstill dont bag,negative
2750,havent released travel advisory iad tomorrow,negative
2751,cross country flight sfogtbos wifi even soda quality inflight entertainment,negative
2752,really getting horrible much tucking kid tonight delta transfer milesstatus right,negative
2753,interview long take hear back,neutral
2754,think problem resolution decided end especially youd like continue flying airline,negative
2755,roundtrip london think fyi thats another 1k lost,negative
2756,already flight booking problem next week trip thanks making choice easy,negative
2757,flight experience r often frustrating 2day ua5184 chi wpg flight attendant april shes 1 best,positive
2758,also group 5 total b,negative
2759,dont ask patient without offering something return,negative
2760,like clockwork friday afternoon flight la den running late flight seem happen consistently,negative
2761,getting business,negative
2762,free booze bach party would make better ordgtmsy enjoy either way thanks,positive
2763,22 name boarding pas think might really need idea,neutral
2764,sitting seat 10d flight back vega chicago someone left folder look important seat pocket 12,neutral
2765,incompetentrude service today missed connecting flight customer service desk terrible really upset w untd,negative
2766,terrible experience ua415 17th 1st exit row economy zero legroom row booked return cant change,negative
2767,55 hour late flightr ive transit total twelve hoursplease change plane flight 600 ridiculous sfo,negative
2768,good man isnt fault plane maintenance issue,positive
2769,delay flight ua4636 painful sure hope doesnt cause luggage miss ua82 flight new delhi,negative
2770,yes unbelievable free fare lock,negative
2771,“ puppy cute look forward board thanks high five ey ”,positive
2772,worst airline beware maintain plain runway past 4 hour,negative
2773,free like airline ’ 1997 anymore,negative
2774,existing reservation fine talking longer 0600 cmhord option 0638 get late flight,negative
2775,please tell im going make connecting flight ohare,neutral
2776,lindsay darn terrible memory part know headed back iad pit tonight,neutral
2777,know ’ sure hear time — ’ like new seat ’ small guy 5 ’ 6 ” feel new plane tight,negative
2778,25 hr ord another 5 tarmac refuse move earlier flight make,negative
2779,ok thanks clarification,neutral
2780,coming back huge east bay customer base due sfo miss,positive
2781,also doesnt help im frequent flier united premiere gold apparently mean nothing,negative
2782,delayed another hour,negative
2783,million mile flier im embarrassed ask long ago launched,neutral
2784,cant beat storm town wait issue policy late flight nw issued storm warning already,negative
2785,miss one probably aspen event,negative
2786,dont need apology need bag took 56 minute landing get unacceptable,negative
2787,add wifi entertainment old seat ’ come back,negative
2788,fly sfo honululu get pushed back 35 hour look like delay beg plz sort soon,negative
2789,thanks catch conection,positive
2790,super lame charge 8 tv international flight u ’ 1997,negative
2791,volunteer give seat people sit 25 minute plane waiting 4 add people,negative
2792,4016 529557 going transfer car airport couldnt get,negative
2793,next time volunteer let gate check bag space since obviously cant deliver timely manner,negative
2794,im sorry cold chicago dont see mean take 45 minute priority bag show carousel,negative
2795,long take customer feedback respond complaint,neutral
2796,making miss big snow montana cool,negative
2797,might airline offering waiverskeep good fight,negative
2798,frontier,neutral
2799,thank help appreciated,positive
2800,fyi went similar flight last week,neutral
2801,know check complaint ticket said dinner booked changed refreshment wheres refund,negative
2802,bag mia since wednesday still word well ever see,negative
2803,assume benefit apply reservation way partner diff re use combine re,neutral
2804,u air,neutral
2805,cant american airline suppose,negative
2806,love report horrible flight team let make worseas get seatout snack,negative
2807,uhuhgroup trying get nashville iad today instead tomorrowwhy preemptive though,neutral
2808,thanks moving dad mom flight helped make birthday start awesomeness 4 paw,positive
2809,need get together 3 4 flight cancelled flightled stranded car baggage lost never get right,negative
2810,blood service make appt today 18009174929,neutral
2811,worth saying litter singapore get caned rule say,negative
2812,waiving change fee snow storm coming tomorrow iad winter storm warning tomorrow already whats,neutral
2813,yes ill sending email customer service today,neutral
2814,im fully aware rule harsh toward client especially since youre going resell seat,negative
2815,wont check carry watched handler throw bag miss conveyer belt sat 10 min,negative
2816,waste time airline get automated message disappointing always,negative
2817,mean within one week filed 2 compensation complaint website,negative
2818,100 sure however ticket included one checked bag therefore charge extra completely unanticipated,negative
2819,“ follow maintenance team thanks tweet kp ” thank united care,positive
2820,terribly disappointed confirmed reservation delayed cust service staff helpful finding alternate solution,negative
2821,checkin luggage employee told include wheel dimension,neutral
2822,dmangencom,neutral
2823,ticket refunded purchased brother flycould used refunded credit fly respond,neutral
2824,besides fact one week ago delayed 18 hour impressed,negative
2825,one checked bag checked edinburgh however charged randomly dc newark,negative
2826,purchase ticket entitled check 1 bag however charged extra 25 dollar domestic transport,negative
2827,thank u 1hr delay boarding u onto plane reek vomit flight attendant indicated wasnt cleaned properly,negative
2828,never grossed life disappointmentyet againflying,negative
2829,need add service dog itinerary tomorrow,neutral
2830,thanks delaying flight hour boarding u onto flight reek vomit wasnt cleaned properly,negative
2831,landed might want check flight 304 plane houston sound takeoff amp landing,negative
2832,cant even look right ill call im mad,negative
2833,dm ed u request num,neutral
2834,requested online refund option denied saying ticket used hope understand problem approach,negative
2835,nope still sitting gate,negative
2836,bagage take cabin dont need checkincorrect,neutral
2837,exactly,neutral
2838,passenger waited inside flight runway returned back gate count valid journey,negative
2839,yes partly used delewr used return flight cancelled flightled due technical glitch operation,negative
2840,thank appreciate response,positive
2841,old school ride home lax houston,neutral
2842,appreciate looking compensate anything trouble still havent taken 1030 flight,negative
2843,mine gjqx 6j husband a587cw cant dm reason,neutral
2844,thank thank thank contacting thank offer 1000 travel certificate,positive
2845,another terrible experience united discrimination delay help customer service,negative
2846,hi flying iad tomorrow evening expect delay cancelled flightlations snow storm,neutral
2847,business decision made inconvenience possibly cause lost customer good business decision,negative
2848,sent dm thanks incredibly happy fast response got via twitter via customer care thank,positive
2849,please provide update ua 791 flight stranded united information crew plane,negative
2850,thanks reminding much easier fly southwest get agent sfo 25,negative
2851,perfect work thank,positive
2852,thats still one day visa expiring june 9 booked flight day,negative
2853,followback dm plz,neutral
2854,miaewr excellent crew ewriad crew load bag waiting w door open freezing 20 min past departure,negative
2855,customer service crap,negative
2856,thanks ground crew surprised flight arrive,negative
2857,mechanical issue look like got fixed thanks concern,positive
2858,ua1023 sitting tarmac ord visibly gate open reassign gate,negative
2859,thanks,positive
2860,usually issue express sfo positive note mainline p enjoyable,negative
2861,sato rebooked upset travel office fix couldnt,negative
2862,kind unnerving watch guy deicing plane text phone whole time,negative
2863,refreshes browser right checkouterror load message ticket price increased 358 matter sec dounotwantmybusiness,negative
2864,united voted every year one worst airline enjoy title give jedediah free pass,negative
2865,think board back plane,negative
2866,plane thanks maybe dont let many people check teeming moron,positive
2867,thanksseat made 6 year old broken tv 20 flightsyearmy last airline,negative
2868,ua6357 need deicing stat weve waited turn,neutral
2869,yes ive boarded way many time amp never show pas tarmac multiple time path railed 1 way,neutral
2870,fair enough united everybody best although slight delay turning cancelled flightlation,negative
2871,still waiting bag never got delivered yesterday cant reach real person help sending dm ref number,negative
2872,worst flight experience ive ever never ever fly airline,negative
2873,go thru detail flight want w recording repeat real person get line,negative
2874,look like came thanks help,positive
2875,anything yet jj,neutral
2876,would person take hour hour wait time tell lie,negative
2877,hey dm working ua 307,negative
2878,refund team far customer care courtesy need training work ethic like sir u r lying help,negative
2879,splitting flight quadruple price,negative
2880,contd told asking refund used ticket flight got cancelled flightled ticket used,negative
2881,several trial several hour waiting phone contact customer care get refund get cold shoulder,negative
2882,booked paid flight get denver specific time meeting failed wasnt caused weather,negative
2883,since get good 4 transcontinental flight 72h pleasurerelief,positive
2884,dont understand isnt flight paid premium getting cancelled flighted best next available flight,negative
2885,flight awful one lavatory functioning people lining bumping etc cant use 1st class bathroom ridiculous,negative
2886,current board food menu available anywhere online,neutral
2887,airline changing mileageplus program winner loser,neutral
2888,actually arent still parked,negative
2889,put sun carry rt “ right 0 would heat wave enjoy warmth bring home jj ”,neutral
2890,thanks,positive
2891,thanks prompt response another hour enjoy vacation perhaps bug app still show 255,positive
2892,apply one travel certificate per itinerary even multiple flight,negative
2893,appreciate sentiment able get groundstill missed connection,positive
2894,log view reservation try view specific reservation amp take back login page,negative
2895,go round amp round going week,neutral
2896,thank prompt assistance,positive
2897,3 time flight delayed miss next flight time youve lost baggage clean clothes 337 flight thx,negative
2898,looked email chain one,neutral
2899,hell mile expire really looking forward accruing enough free flight 10 year,negative
2900,thanks timely update,positive
2901,also want naming right first child fly home visit mother avoid winter depression,neutral
2902,im familiar procedure wouldnt first time lost one bag,negative
2903,get giving inaccuratemisleading info doesnt seem like great way,negative
2904,cleaning regional jet take hour,negative
2905,baggage check flight crew friendliest ever flight ogg lax,positive
2906,thanks mean 30 minute make international connection hkg,neutral
2907,kp traveling trying cheer m bila,neutral
2908,tried charge 750 539 flight tried make change phone including 200 change fee wtf,negative
2909,thank offer sorted,positive
2910,workin waiting reply,neutral
2911,flight 395 rolling delay 1 hour 42 minute,negative
2912,believe customer service last post narita tokyo sent motel rest said standby maybe 2days,negative
2913,think best first class ever gotten denver lax wonderful,positive
2914,course inflight crew great,positive
2915,well played lo,positive
2916,pilot ua475 landed plane like gently placing u pile whipped cream smoothest landing ever,positive
2917,website complete joke using safari,negative
2918,new seat canadaair regional jet plain suck,negative
2919,im another country please cancelled flight reservation ive booked swiss air,neutral
2920,airline abuse expensive video equipment overcharge privilege via,negative
2921,found flight,neutral
2922,thats reply lol hoping least new plane maintained flight,negative
2923,somebody say flight upgrade,negative
2924,dm sent,neutral
2925,tripitpro accurate delayed dept time 2hours late flightr hear curious,negative
2926,tell airline lost mine family business day age message twitter travel fast,negative
2927,trying reach number last standbye gave 1 meal voucher potential 2 day standbye,negative
2928,disappointing customer service,negative
2929,boarded 6373 time deplaned 100 minute delay transparency cant wait give gold status aa,negative
2930,wife sarah stocker also called could connect customer service,negative
2931,victim scam shit customer service time agent hung wtf teach staff,negative
2932,flight 1219 frustration boiled dealing attendant attitude ridiculous,negative
2933,nice know 3 hour time worth 799 free directtv everyone ever hear preventative maintenance,negative
2934,may true however 4 week matter still unresolved get supervisor manager help,negative
2935,obviously one know darn thing around get resolved,negative
2936,going forward shouldnt flight booking problem star alliance flight united app,neutral
2937,notification yet staff board say accurate departure time,negative
2938,im know seat actually narrower seat feel like maybe im extra bloated,negative
2939,dm sent lack customer service getting ridiculous,negative
2940,delayed going home getting really tired delay,negative
2941,big thanks mn kn patiently clarifying united domestic world,positive
2942,uh booked ua website price change,negative
2943,im rebooked getting home 4 hour late flightr planned chance ill ever see bag,negative
2944,united club team amp got seat late flightr still sure last min ual cancelled flightlation cost yet overbooked folk get,negative
2945,flight 5559 yyc providing free food allowed back board broken lightbulb,negative
2946,looking fare returned companion flight dont understand additional 200 fee necessary,negative
2947,thank much help ton whoever twitter acct today deserves handshake hot chocolate flight,positive
2948,left headphone 2a ua4689 yhzewr long shot see worth tweet anyway,neutral
2949,129 thousand fan asking give utmost effort get safe flight baggage soon,neutral
2950,cant wait 787,positive
2951,flight 5187 specific last two probably 30 foot apart within sight,negative
2952,love told would issue refund couldnt get u way hurricane denied,positive
2953,without baggage 5 day cant get update houston airport since monday worst service ever,negative
2954,yes three different checker along walk plane overkill,negative
2955,bummer might go card instead ty response though,negative
2956,“ please dm detail wed like help need assistance kp ”,neutral
2957,im sure business go else airline travel name kathryn sotelo,negative
2958,please arrange someone arriving gate flight 5957 chicago either refund first class upgrade,neutral
2959,made check carry flight 1449 pbi newark plane luggage stow full u r costing time money amp aggravation,negative
2960,way contact flight work father pas heading denver,negative
2961,two flight today let hope kit get treatment,negative
2962,thnx,positive
2963,please help regarding pnr a3zz0f waitlisted flight,negative
2964,emailed jim compton jeff smisek hopefully pay attention,neutral
2965,hope solution insurance cover issue,negative
2966,customer service solution might miss show,negative
2967,deserves go bankrupt delayed outbound flight info connecting flight going miss,negative
2968,flt 3444 delayed maintenance thats fixed cant board flight crew didnt stay boarding area,negative
2969,anymore finally ticketed 5 min takeoff sure confusion fullfare gsa ticket,negative
2970,mile earned explorer card count toward lifetime mile,neutral
2971,yes still dont know ive told might flight one confirm,negative
2972,something missing checked baggage,neutral
2973,wind chill ithica 17 degree trouble losing clothes give tshirt ill burn warmth,negative
2974,aw thanks kind word totally make extra 6 hour sitting airport soooo much better,positive
2975,frontier currently offering weather exception weekend united,neutral
2976,calling customer service 2 delayed flight today luggage misplaced disaster across board,negative
2977,crew notified passenger moved water fixed tarmac two hour,negative
2978,link helpful put touch management,negative
2979,u might imagine former pilot particularly touched gesture please let fo know,positive
2980,delayed cmh ord ran gate 1 min b4 connection door closed one around ignored 1st agent 2nd super rude,negative
2981,guess kit kat look tasty going near sandwich,negative
2982,worse headed laguardia delayed tray table size mouse pad overhead size pocket,negative
2983,1558 iah ewr broken entertainment system wifi despite info app,negative
2984,customer service terrible,negative
2985,done,neutral
2986,please send help asap flight 5957 chicago seat 9c,negative
2987,define appreciate doubt worst major airline usa act much feedback,negative
2988,yea refund airline ruined trip,negative
2989,sent thank,positive
2990,thats wonderful unfortunately doesnt help 4 hr flight major u city,negative
2991,thanks delaying flight hour missing connecting flight terrible customer service,negative
2992,got rebooked aa one question though automatically refund check baggage fee flight cancelled flightled,negative
2993,good 1k team nothing short amazing everything,negative
2994,new flight window kind ticked pick aisle seat hate window seat,negative
2995,good fly,positive
2996,nope rebook houston could get amarillo 11pm stuck sfo four hour,negative
2997,thanks made,positive
2998,past,neutral
2999,thanks dmed hn,positive
3000,money sucking airline terrible terrible customer service,negative
3001,aware airbus fleet suck id rather fly c130 full rubber dog shit,negative
3002,issuing exception policy denver weekend,neutral
3003,need breakdown international surcharge flight cover please help,neutral
3004,fyi staff telling customer try carrier,negative
3005,couldnt possibly messed trip anymore thanks terrible airline,negative
3006,wifi 2015 thats p tech intro video joke,negative
3007,flight 223 thx,neutral
3008,based suggestion passenger rental car standby 1130 one way another leaving,neutral
3009,thanks reply box mine im missing one added bag,negative
3010,wifi flight ua688 sf ord really wow,negative
3011,give belfast new unmissable format,neutral
3012,worst,negative
3013,haha clean plane held overnight hangar sound lovely also dont lie screensand say weather,negative
3014,charge delay united 1612 still waiting,negative
3015,save 200 checked snowboard trying check morning website want 200 premgold,neutral
3016,traveling fra thru iad mco tomorrow concerned abt iad weather cant change advisory issued advice,neutral
3017,made feel guilty economy plus didnt pay extra leg room,negative
3018,flight cancelled flightled new flight 5012 hopefully,negative
3019,cancelled flightled upset one cancelled flight could rented car would honest,negative
3020,enjoyed lounge much almost missed flight,positive
3021,hi flight 1051 try book new one way flight departure show 355pm seems accurate,positive
3022,stuck ord united cant find airplane lol terminal right,negative
3023,contact requesting charity donation,neutral
3024,wth honest customer better last change driving home plane left,negative
3025,2nd time row ive charged 100 plane ticket shouldnt check cc everytime,negative
3026,need customer service manager contact please,neutral
3027,flight 5001 really going leave newark today tell u rent car want end stranded,negative
3028,thanks reply saw particularly helpful hungry vegetarian flying specific flight shrug,negative
3029,funny boarding pas said priority clearly priority airline,negative
3030,im sure offer nothing inconvenience put twice month tweet dont cut,negative
3031,youll cancelled flight flight like,negative
3032,screwing twice one month learned lesson,negative
3033,whats point offering free checked bag lose,negative
3034,cheer,neutral
3035,please send linkemail formally compliment irene slc best customer service ever,positive
3036,thnx lo,positive
3037,yes houston intl bush,neutral
3038,hi 223 flight cunewr show departure 255pm united app confirm doesnt look correct thanks,neutral
3039,flight vega houston cancelled flighted morning due operation mean thank god woke early today,negative
3040,thanks,neutral
3041,education staff needed also turned away first class cabin passenger mileage plus,negative
3042,item mine mysteriously ended checked bag flight missing black box,negative
3043,guessflight going cancelled flightled 16 empty seat confirmed important,negative
3044,instead making seat smallerthinner u jam people flightu concentrate maint amp happy customer,negative
3045,need assistance pulling agent head ass,negative
3046,gate definitely full parked wheel chocked customer service called unmet arrival,negative
3047,another glitch,negative
3048,spite flight delay great customer service provided janet baggage employee karen 2 wonderful employee united,positive
3049,really hard time believing 4 plane terminal delayed mechanical issue,negative
3050,start 3xdaily flight 4jun,neutral
3051,flight 4465 almost half hour tarmac waiting paper cannot miss connection iah,negative
3052,worst airline ever thanks slew rude agent staff making delayed flight even worse,negative
3053,chance hell id rather walk worst airline ever,negative
3054,worst major u airline proof theyre boarding plane outside galley door open 0 degree weather wtf,negative
3055,checked boardingpass wno checkin bagage guess im set,neutral
3056,always make cross country flight rad here baby flier charlotte,positive
3057,late flight damage done easily worst airline experience life missed two connecting flight amp day work,negative
3058,dont know aware premier access line closed terminal feel love,negative
3059,way,positive
3060,disappointed learn charging 200 use 20k mile upgrade p jfk flight looking alternative,negative
3061,kidding ill send stuff thanks,neutral
3062,unacceptable practice leave cancelled flighted flight passenger sleep cement pillow,negative
3063,u get crew member waiting told 40 minute ago landed still gate,negative
3064,flight 6212massive fail delaying transport crew member causing many miss connection unreal,negative
3065,worst customer experience houston intl airport ground support even member nightmare,negative
3066,tremendous would recommend,neutral
3067,help delayed flight im going miss connection,negative
3068,im counting please dont let,negative
3069,impossible actually get passenger luggage final destination,negative
3070,huge kudos fo sunday flt sjoiad handed daughter first pair wing keeping tradition alive,positive
3071,awesome new plane flight 1701,positive
3072,early craft arrival pilot stuck traffic,negative
3073,oh united much despise thee,negative
3074,let see today hoping ontime dept,neutral
3075,flt 912 capt herman amazing came flight play ask captain anything wonderful ambassador airline,positive
3076,airline biggest joke operation world,negative
3077,going baggage claim newark,negative
3078,usually lounge staff fantastic except today mco almost denied entry lounge even though traveling unitedfirst,negative
3079,25 hour delay misplaced bag poor communication worse unsympathetic confrontational gate agent cool,negative
3080,dont respond email facebook msg im still wating ticket im getting really angry disappointed,negative
3081,send jeff smisek trip jetblue sw make sure take note would never choose fly united,negative
3082,disappointed service level staff communication bummer,negative
3083,predawn flight annual trip,neutral
3084,thanks great news u wont refund ticket due bad exchange rate knew u would come sens,negative
3085,thank wonderful global first class flight 777 fra great service cont,positive
3086,got look forward hearing soon,neutral
3087,going rectify please direct complaint department,negative
3088,thank united “ thats beautiful place stay day longer rebooked let know mn ”,positive
3089,top flight attendant talked loudly throug flight even light dimmed resulting sleep,negative
3090,seems like one united help lot finger pointed zero people stepping least gate oreo,negative
3091,access dial make faster,negative
3092,ill impressed actually get response,neutral
3093,hi left asus tablet flight heathrow newark 16th feb wondered long take someone check found,neutral
3094,1hr delay start huge queue security representative meet u rude staff baggage reclaim,negative
3095,worst flight attendant like angry drunk aunt everything argument,negative
3096,black white eu law € 600 cancelled flightled flight want money,negative
3097,accordingly u dont respond,negative
3098,extra care airline dont care trust non existent dont 1,negative
3099,another unfortunate case bad luck usually maintenance issue swapping plane ont get late flight,negative
3100,shame great customer service wasnt continued sfo slightly absurd,negative
3101,18 day word bad pr guy,negative
3102,still awaiting reply ur customer service 18 day response lousy,negative
3103,alright thank much appreciated,positive
3104,happened airline theyve given flight voucher transparent problem,negative
3105,thanks im booked spent extra 7 hr ten w explanation flying middle seat char instead memphis,negative
3106,agent rick clifton seahou told father dying needed get handbag cabin nothing,negative
3107,chance allowing reflight booking problem yet travel denver weekend due impending storm,neutral
3108,watched crew escorted back 1st class prebooked really dissatisfaction und,negative
3109,thanks yup im set happens slc ground staff prompt helpful courteous,positive
3110,plenty empty seat coach dissatisfaction understood crew member traveling duty prebooked f,negative
3111,good didnt die anything say get pay,negative
3112,thank much able contact,positive
3113,maybe return trip,positive
3114,staff laguardia lagos nigeria unprofessional uncaring helpful ou,negative
3115,got gate thanks checking,positive
3116,u kept passenger waiting night 4 plane put service leaving everyone stranded night,negative
3117,especially like upgraded three crew member first class instead passenger,positive
3118,hello got flight month ago constantly think peanut anyway could send,neutral
3119,flt 359 lax ewr pilot bragged getting ewr early wait 20 min jetway driver thanks united,negative
3120,happy found phone easily worst system ever heard,negative
3121,really 9hours dont like delay avoid well way asap,negative
3122,waited hour airport told one fib cant ual honest customer,negative
3123,round trip,neutral
3124,well yet checked bag already vanished havent left airport yet,negative
3125,thanks tonight would seem,neutral
3126,rapid trip plane ticket idaho california doesnt problem would wonderful,negative
3127,agent help point there problem amp dont want mess somebody el plan u flow tech team pls,negative
3128,delayed 3 hour one hour flight frustrating im also unable get decent meal hournever,negative
3129,please went beyond made u number one priority,positive
3130,guy awesome thanks,positive
3131,thnx,positive
3132,think status nothing think bug search system,negative
3133,anna palm spring gate 19 deserves medal handled 30 ppl missing flight like pro,positive
3134,would appreciate answer werent alerted flight cancelled flighted plane landed,negative
3135,wtf delay delay 15 hour yvr san unacceptable flight crew availability blame never,negative
3136,think left phone flight help,negative
3137,great customer service thanks,positive
3138,thanks would awesome,positive
3139,hey left computer bag wcomputer inside united filed online report response,negative
3140,empty upon takeoff cant someone sit,negative
3141,case id 8473573 requested 25 219 710 day ill get response b,negative
3142,nawww united fave airline,positive
3143,thanks formed submitted im betting someone would honest enough turn though,negative
3144,lh return business ticket den fraif fly domestic youbag checked frano need claim,neutral
3145,also united phone representative asked web password normal,neutral
3146,€ 20288 difference booked flight want screen shot,negative
3147,plan reduce delay,neutral
3148,im searching flight redeem mile getting different search result 2 user account reason,neutral
3149,rebooked 24 hour original flight say handling situation bad would understatement,negative
3150,would like supervisor talk waiting flight attendant one walked amp left,negative
3151,whats phone number customer service question,neutral
3152,kid left kindle fire hd 6 onboard ua1037 ordsfo today row 9abcdef whole row amongst 5 u help,neutral
3153,understanding situation waited opened 1030pm,negative
3154,“ hope see board soon thanks tweet ey ”,positive
3155,curious going finally learn,negative
3156,nice 2 see u sense humor want 2 b home ill settle beer safely air course,negative
3157,surprised go 1k last year nothing year happened soft landing policy 1 level,neutral
3158,22 pay person portland airport flying perth done u air,neutral
3159,service desk gate 21 helped u find flight get u dest time flight got cancelled flightled,negative
3160,12 thanks answer question want make reservation phone perth hold 24hrs family,negative
3161,wasnt delay much straight cancelled flightlation weather wasnt issue either,negative
3162,thanks ruining wedding anniversary flight ua4904 ewr rdu delayed 3 hour reach home nxt day,negative
3163,cancelled flightled flight unknown reason havent really given anything make overnight layover tolerable,negative
3164,difference responsible position something learn,negative
3165,yes flight rebooked im losing trust want get anywhere time,negative
3166,thanks keep good work,positive
3167,4 reflight booking problem last 2 day time united wait time lt5 second kudos excellent customer service,positive
3168,solution,negative
3169,mind,neutral
3170,im evry 1st flight take w delayed amp evry 2nd time missed evry time,negative
3171,submit complaint line never heard back dont id find,negative
3172,cool customer told didnt care either expected,negative
3173,freaking worthless hate airline,negative
3174,leave time week,negative
3175,missed daughter suppose dpt ord 59pm dpted 830pm checked week average ua3645 shameful 7 day average 754pm,negative
3176,understand pilot would get plane 1st class 5 empty coach seat near im premier 1k,neutral
3177,fantastic night waiting 3 hour delayed airplane alert u flight cancelled flighted land,negative
3178,someone airport portland buy ticket picked used 2days late flightr perth australia thanks,neutral
3179,delta flight lax compensated rental car,negative
3180,happens 911 911 2spooky 4me m8 spook much scare,neutral
3181,missed set hotel flight delayed sfo 6 hour missing wedding festivity friend,negative
3182,sent confirmation via dm thank much,positive
3183,board customer onto plane pilot thing expedited time line book new flight come,negative
3184,would great 1k us651621,positive
3185,stuck tarmac last hour beer,negative
3186,recent service bad nc trip aweful disappointed never,negative
3187,freezing gate bridge,negative
3188,landed 940pm standing waiting bag loaded plane sidewhy isnt crew,negative
3189,need plane get buffalo leave tonight progress,negative
3190,rebooked however would nice wait extra 90 min airport make right,negative
3191,enough already poor service old plane ridiculous routing 1k time find new airline status match,negative
3192,waiting hour finally board airplane find call maintenance plane cold,negative
3193,broke suitcase amp refuse give repair estimate,negative
3194,scheduled flight crew competent person working airline,negative
